rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt,year,genres,actors,directors,distributor,importer
6,6,17,OLD,20144322,도라에몽 : 스탠 바이 미,2015-02-12,1122293429,4.3,1090583429,3439.2,1157619429,152309,147924,3373.4,157146,432,3239,20150215,2015,애니메이션,"미즈타 와사비,오오하라 메구미","야마자키 타카시,야기 류이치",(주)콘텐츠판다 | (주)넥스트엔터테인먼트월드(NEW),(주)콘텐츠판다 | (주)넥스트엔터테인먼트월드(NEW)
7,7,22,OLD,20155881,오즈의 마법사: 돌아온 도로시,2015-02-12,739403000,2.8,719352000,3587.6,759454000,100978,98462,3913.4,103494,330,2019,20150215,2015,"애니메이션,판타지,뮤지컬,어드벤처,가족","레아 미셸,패트릭 스튜어트,휴 댄시,댄 애크로이드","윌 핀,댄 세인트 피에르",(주)박수엔터테인먼트,㈜코리아스크린
8,8,-4,OLD,20136888,강남 1970,2015-01-21,676341200,2.6,-1835867139,-73.1,17529262299,85699,-226566,-72.6,2166921,419,4833,20150215,2015,"액션,드라마","이민호,김래원,정진영,설현,유승목",유하,(주)쇼박스,
9,9,33,OLD,20155761,명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀,2015-02-12,578686300,2.2,565722000,4363.7,591650600,78544,76948,4821.3,80140,187,1138,20150215,2015,"애니메이션,어드벤처,스릴러",,야마모토 야스이치로,(주)씨제이이엔엠,(주)씨제이이엔엠
10,10,60,OLD,20142561,7번째 아들,2015-02-11,590983251,2.2,586135251,12090.2,595831251,74439,74136,24467.3,74742,358,5693,20150215,2015,,,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유)
1,1,0,OLD,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,17495146379,31.7,9967021230,132.4,25087630528,2190161,1236856,129.7,3151668,825,28130,20150222,2015,"사극,코미디,어드벤처","김명민,오달수,이연희,조관우,정원중",김석윤,(주)쇼박스,
2,2,0,OLD,20140110,킹스맨 : 시크릿 에이전트,2015-02-11,13643937901,24.8,7813787901,134.0,19524589901,1629563,922452,130.5,2343092,728,21952,20150222,2015,"액션,스릴러","콜린 퍼스,태런 에저튼,사무엘 L. 잭슨,마이클 케인",매튜 본,이십세기폭스코리아(주),이십세기폭스코리아(주)
3,3,1,OLD,20137048,국제시장,2014-12-17,5893133300,10.7,4138410900,235.8,109615537830,726581,496933,216.4,14078315,792,10043,20150222,2015,드라마,"황정민,김윤진,오달수,정진영,장영남",윤제균,(주)씨제이이엔엠,
4,4,23,OLD,20141962,이미테이션 게임,2015-02-17,5426845201,9.8,5403994701,23649.3,5463030701,678802,676181,25798.6,683219,541,9659,20150222,2015,"드라마,스릴러","베네딕트 컴버배치,키이라 나이틀리,매튜 구드",모튼 틸덤,메가박스중앙(주) 플러스엠 엔터테인먼트,(주)엘지유플러스
5,5,-2,OLD,20148188,쎄시봉,2015-02-05,4047376900,7.3,558124949,16.0,12682419311,500101,50600,11.3,1591846,482,10701,20150222,2015,"멜로/로맨스,코미디,드라마","김윤석,정우,한효주,김희애,진구",김현석,(주)씨제이이엔엠,
6,6,-1,OLD,20149951,빅 히어로,2015-01-21,1733316500,3.1,28102329,1.6,21234266765,224947,-199,-0.1,2700367,384,4683,20150222,2015,"애니메이션,액션,코미디","라이언 포터,스콧 애짓,다니엘 헤니,제이미 정,T.J. 밀러","크리스 윌리암스,돈 홀",월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주)
7,7,-1,OLD,20144322,도라에몽 : 스탠 바이 미,2015-02-12,1491258300,2.7,368964871,32.9,2648877729,201408,49099,32.2,358554,359,4678,20150222,2015,애니메이션,"미즈타 와사비,오오하라 메구미","야마자키 타카시,야기 류이치",(주)콘텐츠판다 | (주)넥스트엔터테인먼트월드(NEW),(주)콘텐츠판다 | (주)넥스트엔터테인먼트월드(NEW)
8,8,68,OLD,20149401,스폰지밥 3D,2015-02-18,1477966700,2.7,1475612700,62685.3,1480320700,190134,189920,88747.7,190348,357,3414,20150222,2015,"애니메이션,어드벤처,코미디","안토니오 반데라스,클랜시 브라운,톰 케니,전태열,이인성",폴 티비트,,
9,9,-2,OLD,20155881,오즈의 마법사: 돌아온 도로시,2015-02-12,885298900,1.6,145895900,19.7,1644752900,119669,18691,18.5,223163,265,3032,20150222,2015,"애니메이션,판타지,뮤지컬,어드벤처,가족","레아 미셸,패트릭 스튜어트,휴 댄시,댄 애크로이드","윌 핀,댄 세인트 피에르",(주)박수엔터테인먼트,㈜코리아스크린
10,10,-1,OLD,20155761,명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀,2015-02-12,865428800,1.6,286742500,49.6,1457079400,117047,38503,49.0,197187,160,2182,20150222,2015,"애니메이션,어드벤처,스릴러",,야마모토 야스이치로,(주)씨제이이엔엠,(주)씨제이이엔엠
1,1,1,OLD,20140110,킹스맨 : 시크릿 에이전트,2015-02-11,8347406304,30.7,-5296531597,-38.8,27871996205,1032436,-597127,-36.6,3375528,675,19571,20150301,2015,"액션,스릴러","콜린 퍼스,태런 에저튼,사무엘 L. 잭슨,마이클 케인",매튜 본,이십세기폭스코리아(주),이십세기폭스코리아(주)
2,2,2,OLD,20141962,이미테이션 게임,2015-02-17,4283291804,15.8,-1143553397,-21.1,9746322505,561174,-117628,-17.3,1244393,503,12685,20150301,2015,"드라마,스릴러","베네딕트 컴버배치,키이라 나이틀리,매튜 구드",모튼 틸덤,메가박스중앙(주) 플러스엠 엔터테인먼트,(주)엘지유플러스
3,3,-2,OLD,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,3913705700,14.4,-13581440679,-77.6,29001336228,526688,-1663473,-76.0,3678356,720,18481,20150301,2015,"사극,코미디,어드벤처","김명민,오달수,이연희,조관우,정원중",김석윤,(주)쇼박스,
4,4,0,NEW,20147613,그레이의 50가지 그림자,2015-02-26,1979692196,7.3,1979692196,100.0,1979692196,246806,246806,100.0,246806,512,9711,20150301,2015,"드라마,멜로/로맨스","제이미 도넌,다코타 존슨,제니퍼 엘,루크 그림즈",샘 테일러-존슨,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유)
5,5,41,OLD,20156161,백 투 더 비기닝,2015-02-26,1473241800,5.4,1467636800,26184.4,1478846800,196694,196042,30067.8,197346,423,6645,20150301,2015,"SF,스릴러","조니 웨스턴,소피아 블랙 디엘리아,샘 러너,앨런 에반젤리스타,버지니아 가드너",딘 이스라엘리트,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트
6,6,-3,OLD,20137048,국제시장,2014-12-17,887975400,3.3,-5005157900,-84.9,110503513230,120375,-606206,-83.4,14198690,424,5106,20150301,2015,드라마,"황정민,김윤진,오달수,정진영,장영남",윤제균,(주)씨제이이엔엠,
7,7,1,OLD,20149401,스폰지밥 3D,2015-02-18,760027900,2.8,-717938800,-48.6,2240348600,105515,-84619,-44.5,295863,300,3169,20150301,2015,"애니메이션,어드벤처,코미디","안토니오 반데라스,클랜시 브라운,톰 케니,전태열,이인성",폴 티비트,,
8,8,-1,OLD,20144322,도라에몽 : 스탠 바이 미,2015-02-12,724109100,2.7,-767149200,-51.4,3372986829,103502,-97906,-48.6,462056,305,2926,20150301,2015,애니메이션,"미즈타 와사비,오오하라 메구미","야마자키 타카시,야기 류이치",(주)콘텐츠판다 | (주)넥스트엔터테인먼트월드(NEW),(주)콘텐츠판다 | (주)넥스트엔터테인먼트월드(NEW)
9,9,-4,OLD,20148188,쎄시봉,2015-02-05,736617100,2.7,-3310759800,-81.8,13419036411,101369,-398732,-79.7,1693215,428,5492,20150301,2015,"멜로/로맨스,코미디,드라마","김윤석,정우,한효주,김희애,진구",김현석,(주)씨제이이엔엠,
10,10,0,NEW,20144621,기생수 파트1,2015-02-26,763243800,2.8,763243800,100.0,768971800,91101,91101,100.0,91817,247,2258,20150301,2015,"스릴러,SF","소메타니 쇼타,후카츠 에리,하시모토 아이,키타무라 카즈키,아사노 타다노부",야마자키 타카시,판씨네마(주),판씨네마(주)
1,1,0,OLD,20140110,킹스맨 : 시크릿 에이전트,2015-02-11,6754970715,34.2,-1592435589,-19.1,34626966920,812630,-219806,-21.3,4188158,633,18516,20150308,2015,"액션,스릴러","콜린 퍼스,태런 에저튼,사무엘 L. 잭슨,마이클 케인",매튜 본,이십세기폭스코리아(주),이십세기폭스코리아(주)
2,2,22,OLD,20136063,순수의 시대,2015-03-05,2607814328,13.2,2569219328,6656.9,2646409328,319906,315507,7172.2,324305,546,10667,20150308,2015,"사극,드라마","신하균,장혁,강한나,강하늘,양영조",안상훈,(주)씨제이이엔엠,
3,3,-1,OLD,20141962,이미테이션 게임,2015-02-17,2416538015,12.2,-1866753789,-43.6,12162860520,303008,-258166,-46.0,1547401,460,11644,20150308,2015,"드라마,스릴러","베네딕트 컴버배치,키이라 나이틀리,매튜 구드",모튼 틸덤,메가박스중앙(주) 플러스엠 엔터테인먼트,(주)엘지유플러스
4,4,25,OLD,20148841,헬머니,2015-03-05,1863200672,9.4,1840603672,8145.3,1887225672,229191,226483,8363.5,232137,422,7932,20150308,2015,코미디,"김수미,정만식,김정태,이태란,이성민",신한솔,(주)넥스트엔터테인먼트월드(NEW),
5,5,-2,OLD,20149570,조선명탐정 : 사라진 놉의 딸,2015-02-11,1171330100,5.9,-2742375600,-70.1,30172666328,154542,-372146,-70.7,3832898,447,10162,20150308,2015,"사극,코미디,어드벤처","김명민,오달수,이연희,조관우,정원중",김석윤,(주)쇼박스,
6,6,46,OLD,20144801,버드맨,2015-03-05,969316500,4.9,965668500,26471.2,981391500,117447,116861,19942.2,119054,380,5416,20150308,2015,"코미디,드라마","마이클 키튼,에드워드 노튼,엠마 스톤,나오미 왓츠",알레한드로 곤잘레스 이냐리투,이십세기폭스코리아(주),이십세기폭스코리아(주)
7,7,-3,OLD,20147613,그레이의 50가지 그림자,2015-02-26,775289800,3.9,-1204402396,-60.8,2754981996,96822,-149984,-60.8,343628,422,7445,20150308,2015,"드라마,멜로/로맨스","제이미 도넌,다코타 존슨,제니퍼 엘,루크 그림즈",샘 테일러-존슨,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유)
8,8,2,OLD,20144621,기생수 파트1,2015-02-26,606802285,3.1,-156441515,-20.5,1375774085,74406,-16695,-18.3,166223,234,3429,20150308,2015,"스릴러,SF","소메타니 쇼타,후카츠 에리,하시모토 아이,키타무라 카즈키,아사노 타다노부",야마자키 타카시,판씨네마(주),판씨네마(주)
9,9,-4,OLD,20156161,백 투 더 비기닝,2015-02-26,464717900,2.4,-1008523900,-68.5,1943564700,59679,-137015,-69.7,257025,346,5688,20150308,2015,"SF,스릴러","조니 웨스턴,소피아 블랙 디엘리아,샘 러너,앨런 에반젤리스타,버지니아 가드너",딘 이스라엘리트,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트
10,10,28,OLD,20145085,세인트 빈센트,2015-03-05,431714928,2.2,420599928,3784.1,497154928,54947,53568,3884.6,63024,308,3492,20150308,2015,"코미디,드라마","빌 머레이,나오미 왓츠,멜리사 맥카시,테렌스 하워드,제이든 리버허",데오도르 멜피,(주)영화사 빅,(주)메인타이틀픽쳐스
1,1,0,OLD,20140110,킹스맨 : 시크릿 에이전트,2015-02-11,5173922000,24.2,-1581048715,-23.4,39800888920,632271,-180359,-22.2,4820429,603,16485,20150315,2015,"액션,스릴러","콜린 퍼스,태런 에저튼,사무엘 L. 잭슨,마이클 케인",매튜 본,이십세기폭스코리아(주),이십세기폭스코리아(주)
2,2,19,OLD,20148461,살인의뢰,2015-03-12,4090609246,19.2,4056192246,11785.4,4126292246,492072,487820,11472.7,496535,646,11291,20150315,2015,"범죄,스릴러","김상경,김성균,박성웅,윤승아,조재윤",손용호,씨네그루(주)다우기술,
3,3,35,OLD,20156402,채피,2015-03-12,3063041954,14.3,3051005954,25349.0,3075077954,374152,373149,37203.3,375155,536,10261,20150315,2015,"액션,스릴러","휴 잭맨,샬토 코플리,시고니 위버,데브 파텔",닐 블롬캠프,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유)
4,4,26,OLD,20145141,위플래쉬,2015-03-12,2140905100,10.0,2131162100,21873.8,2375684000,264299,262820,17770.1,294597,436,6394,20150315,2015,드라마,"마일즈 텔러,J.K. 시몬스",데이미언 셔젤,(주)넥스트엔터테인먼트월드(NEW) | 워터홀컴퍼니(주) | (주)쇼박스,(주)콘텐츠판다 | 워터홀컴퍼니(주) | (주)에이든컴퍼니
5,5,-1,OLD,20148841,헬머니,2015-03-05,1410807000,6.6,-452393672,-24.3,3298032672,182338,-46853,-20.4,414475,411,9630,20150315,2015,코미디,"김수미,정만식,김정태,이태란,이성민",신한솔,(주)넥스트엔터테인먼트월드(NEW),
6,6,21,OLD,20141602,소셜포비아,2015-03-12,1199506654,5.6,1181313654,6493.2,1227955854,151360,149282,7183.9,154595,368,6247,20150315,2015,"스릴러,드라마","변요한,이주승,하윤경,류준열,오희준",홍석재,CGV아트하우스,
7,7,-4,OLD,20141962,이미테이션 게임,2015-02-17,1017119100,4.8,-1399418915,-57.9,13179979620,129264,-173744,-57.3,1676665,387,7059,20150315,2015,"드라마,스릴러","베네딕트 컴버배치,키이라 나이틀리,매튜 구드",모튼 틸덤,메가박스중앙(주) 플러스엠 엔터테인먼트,(주)엘지유플러스
8,8,-6,OLD,20136063,순수의 시대,2015-03-05,937012800,4.4,-1670801528,-64.1,3583422128,122944,-196962,-61.6,447249,518,10383,20150315,2015,"사극,드라마","신하균,장혁,강한나,강하늘,양영조",안상훈,(주)씨제이이엔엠,
9,9,-3,OLD,20144801,버드맨,2015-03-05,467401600,2.2,-501914900,-51.8,1448793100,59647,-57800,-49.2,178701,376,4848,20150315,2015,"코미디,드라마","마이클 키튼,에드워드 노튼,엠마 스톤,나오미 왓츠",알레한드로 곤잘레스 이냐리투,이십세기폭스코리아(주),이십세기폭스코리아(주)
10,10,55,OLD,20156704,드래곤 블레이드,2015-03-12,299575300,1.4,297471300,14138.4,301679300,39176,38913,14795.8,39439,264,2719,20150315,2015,"액션,어드벤처","성룡,존 쿠삭,애드리언 브로디,최시원",이인항,롯데쇼핑㈜롯데엔터테인먼트,(유)조이앤컨텐츠그룹
1,1,3,OLD,20145141,위플래쉬,2015-03-12,4258191416,22.4,2117286316,98.9,6633875416,530575,266276,100.7,825172,574,14041,20150322,2015,드라마,"마일즈 텔러,J.K. 시몬스",데이미언 셔젤,(주)넥스트엔터테인먼트월드(NEW) | 워터홀컴퍼니(주) | (주)쇼박스,(주)콘텐츠판다 | 워터홀컴퍼니(주) | (주)에이든컴퍼니
2,2,-1,OLD,20140110,킹스맨 : 시크릿 에이전트,2015-02-11,4176807675,22.0,-997114325,-19.3,43977696595,513647,-118624,-18.8,5334076,546,15202,20150322,2015,"액션,스릴러","콜린 퍼스,태런 에저튼,사무엘 L. 잭슨,마이클 케인",매튜 본,이십세기폭스코리아(주),이십세기폭스코리아(주)
3,3,17,OLD,20156841,신데렐라,2015-03-19,2709847200,14.3,2633027200,3427.5,2786667200,345733,337771,4242.3,353695,531,9097,20150322,2015,멜로/로맨스,"릴리 제임스,리처드 매든,케이트 블란쳇,헬레나 본햄 카터,홀리데이 그레인저",케네스 브래너,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주)
4,4,-2,OLD,20148461,살인의뢰,2015-03-12,2286100891,12.0,-1804508355,-44.1,6412393137,284072,-208000,-42.3,780607,550,16262,20150322,2015,"범죄,스릴러","김상경,김성균,박성웅,윤승아,조재윤",손용호,씨네그루(주)다우기술,
5,5,33,OLD,20157041,런 올 나이트,2015-03-19,1449518425,7.6,1438768425,13383.9,1460268425,179397,178322,16588.1,180472,411,6937,20150322,2015,"액션,스릴러","리암 니슨,조엘 킨나만,에드 해리스,커먼,제네시스 로드리게스",자움 콜렛 세라,워너브러더스 코리아(주),워너브러더스 코리아(주)
6,6,-3,OLD,20156402,채피,2015-03-12,1325293000,7.0,-1737748954,-56.7,4400370954,169295,-204857,-54.8,544450,480,11206,20150322,2015,"액션,스릴러","휴 잭맨,샬토 코플리,시고니 위버,데브 파텔",닐 블롬캠프,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유)
7,7,-2,OLD,20148841,헬머니,2015-03-05,604414000,3.2,-806393000,-57.2,3902446672,78838,-103500,-56.8,493313,322,4724,20150322,2015,코미디,"김수미,정만식,김정태,이태란,이성민",신한솔,(주)넥스트엔터테인먼트월드(NEW),
8,8,-2,OLD,20141602,소셜포비아,2015-03-12,607637909,3.2,-591868745,-49.3,1835593763,78351,-73009,-48.2,232946,346,6432,20150322,2015,"스릴러,드라마","변요한,이주승,하윤경,류준열,오희준",홍석재,CGV아트하우스,
9,9,-2,OLD,20141962,이미테이션 게임,2015-02-17,308830900,1.6,-708288200,-69.6,13488810520,39911,-89353,-69.1,1716576,285,2790,20150322,2015,"드라마,스릴러","베네딕트 컴버배치,키이라 나이틀리,매튜 구드",모튼 틸덤,메가박스중앙(주) 플러스엠 엔터테인먼트,(주)엘지유플러스
10,10,37,OLD,20156904,추억의 마니,2015-03-19,169630200,0.9,165254200,3776.4,175718200,22038,21491,3928.9,22799,242,1797,20150322,2015,애니메이션,,요네바야시 히로마사,(주)이수C&E,대원미디어(주)
1,1,17,OLD,20148845,스물,2015-03-25,8620429719,41.9,8583369719,23160.7,8746668719,1121776,1117165,24228.3,1137123,926,23579,20150329,2015,"코미디,드라마","김우빈,이준호,강하늘,오현경,정소민",이병헌,(주)넥스트엔터테인먼트월드(NEW),
2,2,-1,OLD,20145141,위플래쉬,2015-03-12,3241552070,15.8,-1016639346,-23.9,9875427486,413156,-117419,-22.1,1238328,524,14891,20150329,2015,드라마,"마일즈 텔러,J.K. 시몬스",데이미언 셔젤,(주)넥스트엔터테인먼트월드(NEW) | 워터홀컴퍼니(주) | (주)쇼박스,(주)콘텐츠판다 | 워터홀컴퍼니(주) | (주)에이든컴퍼니
3,3,-1,OLD,20140110,킹스맨 : 시크릿 에이전트,2015-02-11,2912418800,14.2,-1264388875,-30.3,46890115395,365109,-148538,-28.9,5699185,497,12920,20150329,2015,"액션,스릴러","콜린 퍼스,태런 에저튼,사무엘 L. 잭슨,마이클 케인",매튜 본,이십세기폭스코리아(주),이십세기폭스코리아(주)
4,4,-1,OLD,20156841,신데렐라,2015-03-19,1696246300,8.2,-1013600900,-37.4,4482913500,227007,-118726,-34.3,580702,450,10638,20150329,2015,멜로/로맨스,"릴리 제임스,리처드 매든,케이트 블란쳇,헬레나 본햄 카터,홀리데이 그레인저",케네스 브래너,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주)
5,5,49,OLD,20144461,인서전트,2015-03-25,1611209389,7.8,1608097389,51674.1,1614321389,210878,210489,54110.3,211267,480,10136,20150329,2015,"SF,액션","쉐일린 우들리,테오 제임스,케이트 윈슬렛,나오미 왓츠,매기 큐",로베르트 슈벤트케,롯데쇼핑㈜롯데엔터테인먼트,(유)조이앤컨텐츠그룹
6,6,-1,OLD,20157041,런 올 나이트,2015-03-19,706066170,3.4,-743452255,-51.3,2166334595,91933,-87464,-48.8,272405,376,6745,20150329,2015,"액션,스릴러","리암 니슨,조엘 킨나만,에드 해리스,커먼,제네시스 로드리게스",자움 콜렛 세라,워너브러더스 코리아(주),워너브러더스 코리아(주)
7,7,-3,OLD,20148461,살인의뢰,2015-03-12,481398500,2.3,-1804702391,-78.9,6893791637,61675,-222397,-78.3,842282,419,6268,20150329,2015,"범죄,스릴러","김상경,김성균,박성웅,윤승아,조재윤",손용호,씨네그루(주)다우기술,
8,8,-2,OLD,20156402,채피,2015-03-12,187205500,0.9,-1138087500,-85.9,4587576454,24838,-144457,-85.3,569288,339,2816,20150329,2015,"액션,스릴러","휴 잭맨,샬토 코플리,시고니 위버,데브 파텔",닐 블롬캠프,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유)
9,9,-2,OLD,20148841,헬머니,2015-03-05,174531800,0.8,-429882200,-71.1,4076978472,23505,-55333,-70.2,516818,216,1892,20150329,2015,코미디,"김수미,정만식,김정태,이태란,이성민",신한솔,(주)넥스트엔터테인먼트월드(NEW),
10,10,-2,OLD,20141602,소셜포비아,2015-03-12,105603800,0.5,-502034109,-82.6,1941197563,13776,-64575,-82.4,246722,228,1907,20150329,2015,"스릴러,드라마","변요한,이주승,하윤경,류준열,오희준",홍석재,CGV아트하우스,
1,1,0,NEW,20143580,분노의 질주: 더 세븐,2015-04-01,9633894698,40.2,9633894698,100.0,9633894698,1170353,1170353,100.0,1170353,983,20593,20150405,2015,"액션,범죄,스릴러","빈 디젤,폴 워커,드웨인 존슨,제이슨 스타뎀",제임스 완,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유)
2,2,-1,OLD,20148845,스물,2015-03-25,8266046241,34.5,-354383478,-4.1,17012714960,1065047,-56729,-5.1,2202170,857,28876,20150405,2015,"코미디,드라마","김우빈,이준호,강하늘,오현경,정소민",이병헌,(주)넥스트엔터테인먼트월드(NEW),
3,3,0,OLD,20140110,킹스맨 : 시크릿 에이전트,2015-02-11,1732512900,7.2,-1179905900,-40.5,48622628295,214633,-150476,-41.2,5913818,429,9868,20150405,2015,"액션,스릴러","콜린 퍼스,태런 에저튼,사무엘 L. 잭슨,마이클 케인",매튜 본,이십세기폭스코리아(주),이십세기폭스코리아(주)
4,4,-2,OLD,20145141,위플래쉬,2015-03-12,1663171059,6.9,-1578381011,-48.7,11538598545,210026,-203130,-49.2,1448354,457,10854,20150405,2015,드라마,"마일즈 텔러,J.K. 시몬스",데이미언 셔젤,(주)넥스트엔터테인먼트월드(NEW) | 워터홀컴퍼니(주) | (주)쇼박스,(주)콘텐츠판다 | 워터홀컴퍼니(주) | (주)에이든컴퍼니
5,5,-1,OLD,20156841,신데렐라,2015-03-19,710406700,3.0,-985839600,-58.1,5193320200,94891,-132116,-58.2,675593,352,5048,20150405,2015,멜로/로맨스,"릴리 제임스,리처드 매든,케이트 블란쳇,헬레나 본햄 카터,홀리데이 그레인저",케네스 브래너,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주)
6,6,-1,OLD,20144461,인서전트,2015-03-25,481019700,2.0,-1130189689,-70.1,2095341089,63037,-147841,-70.1,274304,418,6652,20150405,2015,"SF,액션","쉐일린 우들리,테오 제임스,케이트 윈슬렛,나오미 왓츠,매기 큐",로베르트 슈벤트케,롯데쇼핑㈜롯데엔터테인먼트,(유)조이앤컨텐츠그룹
7,7,26,OLD,20157121,송 원,2015-04-01,243846143,1.0,233975743,2370.5,253716543,32812,31492,2385.8,34132,365,3655,20150405,2015,"드라마,멜로/로맨스","앤 해서웨이,자니 플린",케이트 베커-플로이랜드,(주)박수엔터테인먼트,(주)박수엔터테인먼트
8,8,29,OLD,20157394,팔로우,2015-04-02,193850543,0.8,186858543,2672.5,204480543,23008,22134,2532.5,24310,197,1893,20150405,2015,공포(호러),"마이카 먼로,키어 길크리스,다니엘 조바토,제이크 웨어리",데이빗 로버트 밋첼,(주)영화사오원 | (주)브리즈픽처스,(주)콘텐츠게이트
9,9,26,OLD,20157584,윈드랜드,2015-04-02,140567700,0.6,132575700,1658.9,148559700,19419,18420,1843.8,20418,240,984,20150405,2015,애니메이션,"김경희,탁원정,권문정,박상훈,윤세웅",세르지오 맨피오,예지림엔터테인먼트,예지림엔터테인먼트
10,10,-4,OLD,20157041,런 올 나이트,2015-03-19,120516900,0.5,-585549270,-82.9,2286851495,16199,-75734,-82.4,288604,275,1973,20150405,2015,"액션,스릴러","리암 니슨,조엘 킨나만,에드 해리스,커먼,제네시스 로드리게스",자움 콜렛 세라,워너브러더스 코리아(주),워너브러더스 코리아(주)
1,1,0,OLD,20143580,분노의 질주: 더 세븐,2015-04-01,7804054383,43.2,-1829840315,-19.0,17437949081,958956,-211397,-18.1,2129309,903,27089,20150412,2015,"액션,범죄,스릴러","빈 디젤,폴 워커,드웨인 존슨,제이슨 스타뎀",제임스 완,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유)
2,2,0,OLD,20148845,스물,2015-03-25,3982625400,22.1,-4283420841,-51.8,20995340360,512666,-552381,-51.9,2714836,731,22734,20150412,2015,"코미디,드라마","김우빈,이준호,강하늘,오현경,정소민",이병헌,(주)넥스트엔터테인먼트월드(NEW),
3,3,10,OLD,20140703,장수상회,2015-04-09,2649049717,14.7,2590651717,4436.2,2724218717,346817,339081,4383.2,356558,688,13150,20150412,2015,"멜로/로맨스,드라마","박근형,윤여정,조진웅,한지민,윤여정",강제규,(주)씨제이이엔엠,
4,4,-1,OLD,20140110,킹스맨 : 시크릿 에이전트,2015-02-11,824766100,4.6,-907746800,-52.4,49447394395,102279,-112354,-52.3,6016097,385,5749,20150412,2015,"액션,스릴러","콜린 퍼스,태런 에저튼,사무엘 L. 잭슨,마이클 케인",매튜 본,이십세기폭스코리아(주),이십세기폭스코리아(주)
5,5,-1,OLD,20145141,위플래쉬,2015-03-12,611578200,3.4,-1051592859,-63.2,12150176745,77443,-132583,-63.1,1525797,408,5373,20150412,2015,드라마,"마일즈 텔러,J.K. 시몬스",데이미언 셔젤,(주)넥스트엔터테인먼트월드(NEW) | 워터홀컴퍼니(주) | (주)쇼박스,(주)콘텐츠판다 | 워터홀컴퍼니(주) | (주)에이든컴퍼니
6,6,35,OLD,20133682,화장,2015-04-09,493928900,2.7,487279900,7328.6,513554900,63544,62755,7953.7,66010,327,5452,20150412,2015,드라마,"안성기,김규리,김호정,연우진,김병춘",임권택,(주)리틀빅픽쳐스,
7,7,27,OLD,20145281,코블러,2015-04-08,208950532,1.2,198943532,1988.0,222363532,26818,25628,2153.6,28415,250,2662,20150412,2015,"판타지,코미디","아담 샌들러,더스틴 호프만,스티브 부세미",토마스 맥카시,씨네그루(주)다우기술,(주)에이블엔터테인먼트
8,8,-3,OLD,20156841,신데렐라,2015-03-19,199364900,1.1,-511041800,-71.9,5392685100,26640,-68251,-71.9,702233,240,1765,20150412,2015,멜로/로맨스,"릴리 제임스,리처드 매든,케이트 블란쳇,헬레나 본햄 카터,홀리데이 그레인저",케네스 브래너,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주)
9,9,34,OLD,20141085,한 번 더 해피엔딩,2015-04-08,206606751,1.1,200989251,3577.9,212710051,26309,25640,3832.6,27059,231,2530,20150412,2015,"멜로/로맨스,코미디","휴 그랜트,마리사 토메이,앨리슨 제니,벨라 헤스콧",마크 로렌스,(주)팝엔터테인먼트,주식회사 더쿱
10,10,57,OLD,20142884,엘리노어 릭비: 그 남자 그 여자,2015-04-09,166277000,0.9,164245500,8084.9,177873500,20401,20132,7484.0,21839,212,1754,20150412,2015,드라마,"제임스 맥어보이,제시카 차스테인,이자벨 위페르,윌리엄 허트",네드 벤슨,(주)이수C&E,(주)드림웨스트픽쳐스
1,1,0,OLD,20143580,분노의 질주: 더 세븐,2015-04-01,5976719074,39.6,-1827335309,-23.4,23414668155,733096,-225860,-23.6,2862405,813,25769,20150419,2015,"액션,범죄,스릴러","빈 디젤,폴 워커,드웨인 존슨,제이슨 스타뎀",제임스 완,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유)
