rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt,year,genres,actors,directors,distributor,importer
10,10,-3,OLD,20126388,잠베지아: 신비한 나무섬의 비밀,2012-12-25,422215500,1.4,-867634500,-67.3,3219853500,64141,-121466,-65.4,454891,206,1977,20130113,2013,애니메이션,"사무엘 L. 잭슨,아비게일 브레스린,제프 골드블럼,짐 커밍스,유준상",웨인 쏜리,롯데쇼핑㈜롯데엔터테인먼트,블루미지
1,1,0,OLD,20124935,박수건달,2013-01-09,10761862569,32.9,3214703569,42.6,18370845569,1471392,450199,44.1,2501054,603,18268,20130120,2013,코미디,"박신양,김정태,엄지원,정혜영,김성균",조진규,(주)쇼박스,
2,2,1,OLD,20128274,레미제라블,2012-12-19,3543251500,10.8,-917288000,-20.6,38845213500,491611,-126755,-20.5,5318448,392,8882,20130120,2013,드라마,"휴 잭맨,러셀 크로우,앤 해서웨이,아만다 사이프리드,헬레나 본햄 카터",톰 후퍼,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유)
3,3,-1,OLD,20124039,타워,2012-12-25,3469054500,10.6,-3129763000,-47.4,35968562500,486578,-428770,-46.8,4941630,466,12845,20130120,2013,드라마,"설경구,손예진,김상경,차인표,조민아",김지훈,(주)씨제이이엔엠,
4,4,39,OLD,20123333,잭 리처,2013-01-17,3448856500,10.6,3443567500,65108.1,3454145500,464588,463895,66940.1,465281,431,7635,20130120,2013,액션,"톰 크루즈,로자먼드 파이크,로버트 듀발,베르너 헤어조크,리차드 젠킨스",크리스토퍼 맥쿼리,(주)씨제이이엔엠,(주)씨제이이엔엠
5,5,19,OLD,20129156,몬스터 호텔,2013-01-17,2772947500,8.5,2750949500,12505.5,2794945500,390552,387520,12781.0,393584,489,4535,20130120,2013,"애니메이션,가족","아담 샌들러,스티브 부세미,프란 드레셔,앤디 샘버그,정찬우",젠디 타타코브스키,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
6,6,17,OLD,20121861,더 임파서블,2013-01-17,2417706500,7.4,2397536500,11886.6,2458312500,333189,330066,10568.9,339718,407,7522,20130120,2013,"액션,드라마,스릴러","이완 맥그리거,나오미 왓츠",후안 안토니오 바요나,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트
7,7,-3,OLD,20128386,라이프 오브 파이,2013-01-01,3071884500,9.4,-1019093500,-24.9,12850904000,296781,-112244,-27.4,1316607,306,6466,20130120,2013,"어드벤처,드라마","수라즈 샤르마,이르판 칸,라프 스팰",이안,주식회사 해리슨앤컴퍼니 | 이십세기폭스코리아(주),주식회사 해리슨앤컴퍼니 | 이십세기폭스코리아(주)
8,8,-3,OLD,20124024,클라우드 아틀라스,2013-01-09,943069099,2.9,-1303706529,-58.0,3218717727,126834,-169264,-57.2,426659,349,5674,20130120,2013,"SF,판타지","톰 행크스,할리 베리,휴 그랜트,배두나,짐 스터게스","톰 티크베어,라나 워쇼스키,릴리 워쇼스키",(주)넥스트엔터테인먼트월드(NEW),블루미지
9,9,-2,OLD,20122803,파이스토리 : 악당상어 소탕작전,2013-01-10,642815000,2.0,-404777000,-38.6,1692333000,97037,-53972,-35.7,248260,280,3576,20130120,2013,애니메이션,"드레이크 벨,앤디 딕,김병만,남보라,류담","마크 A.Z. 디페,박태동",(주)에스비에스콘텐츠허브,데이지엔터테인먼트
10,10,-2,OLD,20126583,마이 리틀 히어로,2013-01-09,384337000,1.2,-426923628,-52.6,1247865628,56109,-58258,-50.9,177475,320,4400,20130120,2013,드라마,"김래원,지대한,이성민,조안,이광수",김성훈,(주)씨제이이엔엠,
1,1,13,OLD,20127593,7번방의 선물,2013-01-23,12626773202,34.9,12555277202,17560.8,12699679202,1731352,1722939,20479.5,1740047,787,16025,20130127,2013,"코미디,드라마","류승룡,박신혜,갈소원,오달수,박원상",이환경,(주)넥스트엔터테인먼트월드(NEW),
2,2,-1,OLD,20124935,박수건달,2013-01-09,7351112500,20.3,-3410750069,-31.7,25721958069,1017100,-454292,-30.9,3518154,595,16874,20130127,2013,코미디,"박신양,김정태,엄지원,정혜영,김성균",조진규,(주)쇼박스,
3,3,26,OLD,20123681,뽀로로 극장판 슈퍼썰매 대모험,2013-01-23,2702271000,7.5,2687987000,18818.2,2725527000,356506,355158,26347.0,358706,459,6081,20130127,2013,애니메이션,"이선,이미자,김환진,함수정,홍소영",박영균,(주)넥스트엔터테인먼트월드(NEW) | (주)씨제이이엔엠,
4,4,1,OLD,20129156,몬스터 호텔,2013-01-17,2224667500,6.1,-548280000,-19.8,5019613000,329239,-61313,-15.7,722823,400,6556,20130127,2013,"애니메이션,가족","아담 샌들러,스티브 부세미,프란 드레셔,앤디 샘버그,정찬우",젠디 타타코브스키,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
5,5,-3,OLD,20128274,레미제라블,2012-12-19,2322617000,6.4,-1220634500,-34.4,41167830500,323369,-168242,-34.2,5641817,365,6989,20130127,2013,드라마,"휴 잭맨,러셀 크로우,앤 해서웨이,아만다 사이프리드,헬레나 본햄 카터",톰 후퍼,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유)
6,6,-2,OLD,20123333,잭 리처,2013-01-17,2018787000,5.6,-1430069500,-41.5,5472932500,278123,-186465,-40.1,743404,393,9186,20130127,2013,액션,"톰 크루즈,로자먼드 파이크,로버트 듀발,베르너 헤어조크,리차드 젠킨스",크리스토퍼 맥쿼리,(주)씨제이이엔엠,(주)씨제이이엔엠
7,7,-1,OLD,20121861,더 임파서블,2013-01-17,1569548500,4.3,-848158000,-35.1,4027861000,223439,-109750,-32.9,563157,403,7846,20130127,2013,"액션,드라마,스릴러","이완 맥그리거,나오미 왓츠",후안 안토니오 바요나,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트
8,8,-5,OLD,20124039,타워,2012-12-25,1426545000,3.9,-2042509500,-58.9,37395107500,201339,-285239,-58.6,5142969,373,7427,20130127,2013,드라마,"설경구,손예진,김상경,차인표,조민아",김지훈,(주)씨제이이엔엠,
9,9,-2,OLD,20128386,라이프 오브 파이,2013-01-01,1860276000,5.1,-1211608500,-39.4,14711180000,166992,-129789,-43.7,1483599,267,3757,20130127,2013,"어드벤처,드라마","수라즈 샤르마,이르판 칸,라프 스팰",이안,주식회사 해리슨앤컴퍼니 | 이십세기폭스코리아(주),주식회사 해리슨앤컴퍼니 | 이십세기폭스코리아(주)
10,10,32,OLD,20048799,명탐정 코난:은빛 날개의 마술사,2013-01-24,670804500,1.9,667666500,21276.8,673942500,101521,100998,19311.3,102044,139,1289,20130127,2013,애니메이션,"김선혜,강수진,이정구",야마모토 야스이치로,(주)씨제이이엔엠,얼리버드
1,1,0,OLD,20127593,7번방의 선물,2013-01-23,17419538777,40.4,4792765575,38.0,30119217979,2451850,720498,41.6,4191897,866,25372,20130203,2013,"코미디,드라마","류승룡,박신혜,갈소원,오달수,박원상",이환경,(주)넥스트엔터테인먼트월드(NEW),
2,2,21,OLD,20124083,베를린,2013-01-30,16549891621,38.4,16524496621,65069.9,16575286621,2248142,2244995,71337.6,2251289,894,23300,20130203,2013,액션,"하정우,한석규,류승범,전지현,이경영",류승완,(주)씨제이이엔엠,
3,3,-1,OLD,20124935,박수건달,2013-01-09,2165533000,5.0,-5185579500,-70.5,27887491069,308542,-708558,-69.7,3826696,505,10490,20130203,2013,코미디,"박신양,김정태,엄지원,정혜영,김성균",조진규,(주)쇼박스,
4,4,-1,OLD,20123681,뽀로로 극장판 슈퍼썰매 대모험,2013-01-23,2164743500,5.0,-537527500,-19.9,4890270500,300040,-56466,-15.8,658746,387,6211,20130203,2013,애니메이션,"이선,이미자,김환진,함수정,홍소영",박영균,(주)넥스트엔터테인먼트월드(NEW) | (주)씨제이이엔엠,
5,5,-1,OLD,20129156,몬스터 호텔,2013-01-17,956701000,2.2,-1267966500,-57.0,5976314000,145438,-183801,-55.8,868261,323,4436,20130203,2013,"애니메이션,가족","아담 샌들러,스티브 부세미,프란 드레셔,앤디 샘버그,정찬우",젠디 타타코브스키,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
